A03.1,Shigellosis due to Shigella flexneri
A03.0,Shigellosis due to Shigella dysenteriae
A03.3,Shigellosis due to Shigella sonnei
A03.2,Shigellosis due to Shigella boydii
B95.62,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere
B51.8,Plasmodium vivax malaria with other complications
B95.61,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
A03.9,"Shigellosis, unspecified"
A03.8,Other shigellosis
B37.89,Other sites of candidiasis
A69.20,"Lyme disease, unspecified"
B37.82,Candidal enteritis
B37.83,Candidal cheilitis
B37.84,Candidal otitis externa
A69.21,Meningitis due to Lyme disease
B06.00,"Rubella with neurological complication, unspecified"
B87.81,Genitourinary myiasis
A69.22,Other neurologic disorders in Lyme disease
A69.23,Arthritis due to Lyme disease
B87.82,Intestinal myiasis
B05.4,Measles with intestinal complications
B05.0,Measles complicated by encephalitis
B05.1,Measles complicated by meningitis
B05.2,Measles complicated by pneumonia
B05.3,Measles complicated by otitis media
A60.09,Herpesviral infection of other urogenital tract
B05.9,Measles without complication
B06.01,Rubella encephalitis
A41.3,Sepsis due to Hemophilus influenzae
A41.2,Sepsis due to unspecified staphylococcus
A41.1,Sepsis due to other specified staphylococcus
A56.8,Sexually transmitted chlamydial infection of other sites
A41.4,Sepsis due to anaerobes
A41.9,"Sepsis, unspecified organism"
B27.19,Cytomegaloviral mononucleosis with other complication
A69.29,Other conditions associated with Lyme disease
A81.09,Other Creutzfeldt-Jakob disease
A17.0,Tuberculous meningitis
A17.1,Meningeal tuberculoma
A41.89,Other specified sepsis
A37.10,Whooping cough due to Bordetella parapertussis without pneumonia
A37.11,Whooping cough due to Bordetella parapertussis with pneumonia
A81.00,"Creutzfeldt-Jakob disease, unspecified"
A81.01,Variant Creutzfeldt-Jakob disease
A17.9,"Tuberculosis of nervous system, unspecified"
A41.81,Sepsis due to Enterococcus
A15.0,Tuberculosis of lung
A54.33,Gonococcal keratitis
A80.39,Other acute paralytic poliomyelitis
A15.4,Tuberculosis of intrathoracic lymph nodes
A15.5,"Tuberculosis of larynx, trachea and bronchus"
A15.6,Tuberculous pleurisy
A15.7,Primary respiratory tuberculosis
A15.8,Other respiratory tuberculosis
A15.9,Respiratory tuberculosis unspecified
A80.30,"Acute paralytic poliomyelitis, unspecified"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
B00.0,Eczema herpeticum
B83.2,Angiostrongyliasis due to Parastrongylus cantonensis
A01.4,"Paratyphoid fever, unspecified"
A01.3,Paratyphoid fever C
A01.2,Paratyphoid fever B
A01.1,Paratyphoid fever A
B83.3,Syngamiasis
A78,Q fever
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis
B65.0,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B19.11,Unspecified viral hepatitis B with hepatic coma
B35.5,Tinea imbricata
B19.10,Unspecified viral hepatitis B without hepatic coma
B00.4,Herpesviral encephalitis
B67.61,"Echinococcus multilocularis infection, multiple sites"
A74.89,Other chlamydial diseases
B35.6,Tinea cruris
A55,Chlamydial lymphogranuloma (venereum)
A57,Chancroid
B37.81,Candidal esophagitis
A58,Granuloma inguinale
A54.39,Other gonococcal eye infection
B27.89,Other infectious mononucleosis with other complication
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
B35.3,Tinea pedis
B27.81,Other infectious mononucleosis with polyneuropathy
B27.80,Other infectious mononucleosis without complication
B27.82,Other infectious mononucleosis with meningitis
B66.2,Dicroceliasis
B53.8,"Other malaria, not elsewhere classified"
B65.1,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B67.69,"Echinococcus multilocularis infection, other sites"
A77.3,Spotted fever due to Rickettsia australis
A75.9,"Typhus fever, unspecified"
A75.2,Typhus fever due to Rickettsia typhi
A75.3,Typhus fever due to Rickettsia tsutsugamushi
A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A75.1,Recrudescent typhus [Brill's disease]
B66.5,Fasciolopsiasis
B81.8,Other specified intestinal helminthiases
A54.9,"Gonococcal infection, unspecified"
B05.89,Other measles complications
B81.0,Anisakiasis
B81.1,Intestinal capillariasis
B81.2,Trichostrongyliasis
B81.3,Intestinal angiostrongyliasis
B05.81,Measles keratitis and keratoconjunctivitis
A69.1,Other Vincent's infections
A69.0,Necrotizing ulcerative stomatitis
A53.0,"Latent syphilis, unspecified as early or late"
B00.1,Herpesviral vesicular dermatitis
B87.9,"Myiasis, unspecified"
A69.9,"Spirochetal infection, unspecified"
A69.8,Other specified spirochetal infections
B87.4,Aural myiasis
A53.9,"Syphilis, unspecified"
B87.2,Ocular myiasis
B87.3,Nasopharyngeal myiasis
B87.0,Cutaneous myiasis
B58.2,Toxoplasma meningoencephalitis
A51.0,Primary genital syphilis
A51.1,Primary anal syphilis
A51.2,Primary syphilis of other sites
B58.1,Toxoplasma hepatitis
A67.3,Mixed lesions of pinta
A51.5,"Early syphilis, latent"
A67.1,Intermediate lesions of pinta
A67.0,Primary lesions of pinta
B85.4,Mixed pediculosis and phthiriasis
A51.9,"Early syphilis, unspecified"
B85.0,Pediculosis due to Pediculus humanus capitis
B85.1,Pediculosis due to Pediculus humanus corporis
A67.9,"Pinta, unspecified"
A79.9,"Rickettsiosis, unspecified"
A05.9,"Bacterial foodborne intoxication, unspecified"
A05.8,Other specified bacterial foodborne intoxications
A05.3,Foodborne Vibrio parahaemolyticus intoxication
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05.1,Botulism food poisoning
A05.0,Foodborne staphylococcal intoxication
B92,Sequelae of leprosy
A05.5,Foodborne Vibrio vulnificus intoxication
A05.4,Foodborne Bacillus cereus intoxication
A07.9,"Protozoal intestinal disease, unspecified"
A07.8,Other specified protozoal intestinal diseases
B67.90,"Echinococcosis, unspecified"
B95.4,Other streptococcus as the cause of diseases classified elsewhere
B95.3,Streptococcus pneumoniae as the cause of diseases classified elsewhere
B95.2,Enterococcus as the cause of diseases classified elsewhere
B95.1,"Streptococcus, group B, as the cause of diseases classified elsewhere"
B95.0,"Streptococcus, group A, as the cause of diseases classified elsewhere"
A07.1,Giardiasis [lambliasis]
A07.0,Balantidiasis
A07.3,Isosporiasis
A07.2,Cryptosporidiosis
A07.4,Cyclosporiasis
B00.3,Herpesviral meningitis
A51.45,Secondary syphilitic hepatitis
A51.44,Secondary syphilitic nephritis
B88.9,"Infestation, unspecified"
A51.46,Secondary syphilitic osteopathy
A51.41,Secondary syphilitic meningitis
B97.0,Adenovirus as the cause of diseases classified elsewhere
A51.43,Secondary syphilitic oculopathy
A51.42,Secondary syphilitic female pelvic disease
A93.2,Colorado tick fever
A51.49,Other secondary syphilitic conditions
B06.09,Other neurological complications of rubella
B35.1,Tinea unguium
B96.4,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
A93.1,Sandfly fever
B18.8,Other chronic viral hepatitis
B00.51,Herpesviral iridocyclitis
B00.50,"Herpesviral ocular disease, unspecified"
B00.53,Herpesviral conjunctivitis
A83.6,Rocio virus disease
B70.1,Sparganosis
B38.3,Cutaneous coccidioidomycosis
B00.59,Other herpesviral disease of eye
A30.4,Borderline lepromatous leprosy
B73.00,"Onchocerciasis with eye involvement, unspecified"
A19.8,Other miliary tuberculosis
A19.9,"Miliary tuberculosis, unspecified"
B87.89,Myiasis of other sites
A19.0,Acute miliary tuberculosis of a single specified site
A19.1,Acute miliary tuberculosis of multiple sites
A19.2,"Acute miliary tuberculosis, unspecified"
B83.8,Other specified helminthiases
B83.9,"Helminthiasis, unspecified"
A30.3,Borderline leprosy
A70,Chlamydia psittaci infections
B83.0,Visceral larva migrans
B83.1,Gnathostomiasis
A85.1,Adenoviral encephalitis
B83.4,Internal hirudiniasis
A85.0,Enteroviral encephalitis
B58.89,Toxoplasmosis with other organ involvement
B57.40,"Chagas' disease with nervous system involvement, unspecified"
B00.81,Herpesviral hepatitis
B57.41,Meningitis in Chagas' disease
B97.10,Unspecified enterovirus as the cause of diseases classified elsewhere
